term	search	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm	hprec_strict	hrecall_strict	hf1_strict	hprec_soft	hrecall_soft	hf1_soft
tf	search_basic	True	False	jaccard	3,3,4,1	0.3968	0.2938	0.2030	0.1431	0.2979	0.3025	0.6946	0.5266	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	False	jaccard	1,1,1,4	0.3776	0.2931	0.1941	0.1182	0.2883	0.2851	0.6690	0.5022	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	False	overlap	1,1,1,1	0.2534	0.1760	0.1470	0.1200	0.1921	0.2156	0.6353	0.4439	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	False	overlap	3,3,4,1	0.2529	0.1822	0.1479	0.1183	0.1943	0.2184	0.6453	0.4511	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	False	overlap	1,1,1,4	0.2528	0.1731	0.1440	0.1203	0.1900	0.2143	0.6278	0.4395	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
na	search_bm25	False	True	na	n,a	0.2689	0.1071	0.1064	0.0966	0.1608	0.1894	0.4843	0.3512	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
na	search_bm25	False	False	na	n,a	0.2146	0.1108	0.1068	0.0978	0.1441	0.1733	0.4947	0.3481	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
na	search_bm25	True	True	na	n,a	0.2637	0.1055	0.1040	0.0958	0.1577	0.1837	0.4652	0.3329	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
na	search_bm25	True	False	na	n,a	0.2438	0.1186	0.0996	0.0969	0.1540	0.1834	0.4956	0.3632	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	cosine	1,1,1,1	0.3767	0.2718	0.2076	0.1356	0.2854	0.2997	0.7077	0.5425	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	cosine	3,3,4,1	0.3848	0.2634	0.2089	0.1460	0.2857	0.3004	0.7100	0.5463	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	cosine	1,1,1,4	0.3567	0.2727	0.2084	0.1338	0.2793	0.2954	0.7043	0.5379	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	dice	1,1,1,1	0.4877	0.3246	0.2404	0.1421	0.3509	0.3379	0.7074	0.5584	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	dice	3,3,4,1	0.4755	0.3277	0.2651	0.1389	0.3561	0.3413	0.7113	0.5627	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	dice	1,1,1,4	0.4856	0.3219	0.2429	0.1422	0.3501	0.3357	0.7064	0.5571	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	jaccard	1,1,1,1	0.4877	0.3246	0.2404	0.1421	0.3509	0.3379	0.7074	0.5584	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	jaccard	3,3,4,1	0.4755	0.3277	0.2651	0.1389	0.3561	0.3413	0.7113	0.5627	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	jaccard	1,1,1,4	0.4856	0.3219	0.2429	0.1422	0.3501	0.3357	0.7064	0.5571	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	overlap	1,1,1,1	0.3481	0.2272	0.2027	0.1374	0.2593	0.2688	0.6930	0.5131	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	overlap	3,3,4,1	0.3643	0.2354	0.1994	0.1374	0.2664	0.2692	0.6976	0.5155	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	True	overlap	1,1,1,4	0.3395	0.2149	0.2004	0.1358	0.2516	0.2646	0.6884	0.5081	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	cosine	1,1,1,1	0.3667	0.2418	0.1919	0.1223	0.2668	0.2801	0.6793	0.5166	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	cosine	3,3,4,1	0.3698	0.2580	0.1931	0.1260	0.2736	0.2854	0.6806	0.5219	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	cosine	1,1,1,4	0.3622	0.2431	0.1903	0.1209	0.2652	0.2755	0.6750	0.5109	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	dice	1,1,1,1	0.4397	0.3151	0.2281	0.1234	0.3276	0.3222	0.6801	0.5353	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	dice	3,3,4,1	0.4449	0.3264	0.2289	0.1222	0.3334	0.3309	0.6870	0.5432	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	dice	1,1,1,4	0.3825	0.3278	0.2284	0.1234	0.3129	0.3071	0.6768	0.5254	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	jaccard	1,1,1,1	0.4397	0.3151	0.2281	0.1234	0.3276	0.3222	0.6801	0.5353	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	jaccard	3,3,4,1	0.4449	0.3264	0.2289	0.1222	0.3334	0.3309	0.6870	0.5432	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
